"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"316",8,"Fabinho",NA,NA,1170,13,1248,0.9375,NA,0.0326893187860436,1,0.968146236361916,1.67489298890611
"233",17,"London Woodberry",NA,138600,90,1,96,0.9375,NA,0.03211739367211,1,0.967610056567603,1.67396539786195
"409",17,"Victor Bernardez","SJ",491600,1059,12,1152,0.919270833333333,0.04,0.195378994462988,0.857142857142857,0.967552639627248,1.67386606655514
"234",2,"Antonio Mlinar Delamea","NE",NA,1350,15,1440,0.9375,0.01,0.214894595080286,0.816326530612245,0.966769805336747,1.67251176323257
"278",6,"Damien Perrinelle","NYRB",350016,938,12,1152,0.814236111111111,0.04,0.236056429256861,0.948717948717949,0.964686082066294,1.66890692197469
"3",7,"Greg Garza","ATL",3e+05,1080,12,1152,0.9375,0.02,0.361196661679927,0.666666666666667,0.963621870324931,1.66706583566213
"69",12,"Kevin Doyle","COL",2045000,904,12,1152,0.784722222222222,0.35,1,0.225,0.961284722222222,1.66302256944444
"119",17,"Nick DeLeon","DC",510000,498,6,576,0.864583333333333,0.05,0.289218493285249,0.822222222222222,0.960933118615835,1.66241429520539
"258",19,"Ronald Matarrita","NYC",375000,561,7,672,0.834821428571429,0.01,0.36449400556589,0.785714285714286,0.960218528881218,1.66117805496451
"345",22,"Zarek Valentin","POR",220000,393,5,480,0.81875,0,0.30085028793486,0.868421052631579,0.957340910088772,1.65619977445358
"70",20,"Sam Cronin","MN",606250,262,3,288,0.909722222222222,0.02,0.275433069084946,0.775,0.955602305903666,1.65319198921334
"364",7,"Danilo Acosta","RSL",131250,341,4,384,0.888020833333333,0,0.236556535948781,0.836734693877551,0.953104972319737,1.64887160211315
"279",20,"Tyler Adams","NYRB",166041.67,615,7,672,0.915178571428571,0.05,0.24115614443223,0.794871794871795,0.948150569452344,1.64030048515255
"298",5,"Donny Toia","ORL",141750,1080,12,1152,0.9375,0.02,0.23885620555609,0.765957446808511,0.942012799091813,1.62968214242884
"317",18,"Oguchi Onyewu","PHI",130008,939,11,1056,0.889204545454545,0.11,0.182117485395617,0.875,0.939993673093261,1.62618905445134
"29",2,"Bastian Schweinsteiger","CHI",10800000,970,11,1056,0.918560606060606,0.1,0.440041885254809,0.581395348837209,0.938252004800434,1.62317596830475
"318",2,"Alejandro Bedoya","PHI",2328250,1170,13,1248,0.9375,0.15,0.250419931712705,0.75,0.937893685980661,1.62255607674654
"120",11,"Kofi Opare","DC",225000,594,8,768,0.7734375,0.1,0.211419749674533,1,0.936957462638897,1.62093641036529
"346",8,"Diego Chara","POR",1022000,1098,13,1248,0.879807692307692,0.08,0.273992429707845,0.789473684210526,0.935645667533952,1.61866700483374
"71",9,"Eric Miller","COL",162107.5,1036,12,1152,0.899305555555556,0,0.214901564570289,0.825,0.935189254248975,1.61787740985073
"365",1,"Aaron Maund","RSL",339437.5,722,9,864,0.835648148148148,0.08,0.239065768009814,0.877551020408163,0.933098751432615,1.61426083997842
"366",15,"Kyle Beckerman","RSL",1575000,926,11,1056,0.876893939393939,0.05,0.422992744518028,0.63265306122449,0.925689409202246,1.60144267791989
"259",6,"Ethan White","NYC",130000,1066,13,1248,0.854166666666667,0.01,0.289657924270941,0.785714285714286,0.918547096029048,1.58908647613025
"30",20,"Michael Harrington","CHI",270000,708,8,768,0.921875,0,0.182246873694412,0.813953488372093,0.918372208780059,1.5887839211895
"213",17,"Marco Donadel","MTL",736650.67,640,8,768,0.833333333333333,0.02,0.358211845663241,0.743589743589744,0.918167991044154,1.58843062450639
"47",9,"Jonathan Mensah","CLB",1594000,887,11,1056,0.839962121212121,0.06,0.148534033856993,0.942857142857143,0.916727247864998,1.58593813880645
"4",18,"Michael Parkhurst","ATL",650016,1158,13,1248,0.927884615384615,0,0.178428873912156,0.80952380952381,0.91670609568818,1.58590154554055
"347",16,"Liam Ridgewell","POR",1230000,720,8,768,0.9375,0.06,0.238780498374576,0.736842105263158,0.914646190910375,1.58233791027495
"48",19,"Wil Trapp","CLB",650000,1415,16,1536,0.921223958333333,0.01,0.277956473149551,0.714285714285714,0.914077275534441,1.58135368667458
"5",19,"Miguel Almiron","ATL",4209500,1086,13,1248,0.870192307692308,0.27,0.833338446882473,0.214285714285714,0.911634486401163,1.57712766147401
